timestamp,error_x,error_y,pan_angle,tilt_angle,delta_pan,delta_tilt
1770649307.2380183,0,0,98.22,80.1,0,0
1770649307.4883537,0,0,98.22,80.1,0,0
1770649307.7367208,0,0,98.22,80.1,0,0
1770649307.9883819,0,0,98.22,80.1,0,0
1770649308.2370343,0,0,98.22,80.1,0,0
1770649308.4879704,0,0,98.22,80.1,0,0
1770649308.736967,0,0,98.22,80.1,0,0
1770649308.9881234,0,0,98.22,80.1,0,0
1770649309.2376027,0,0,98.22,80.1,0,0
1770649309.4891372,0,0,98.22,80.1,0,0
1770649309.7369967,0,0,98.22,80.1,0,0
1770649309.988971,0,0,98.22,80.1,0,0
1770649310.2372258,0,0,98.22,80.1,0,0
1770649310.4896038,0,0,98.22,80.1,0,0
1770649310.7371893,0,0,98.22,80.1,0,0
1770649310.9890537,0,0,98.22,80.1,0,0
1770649311.2373977,0,0,98.22,80.1,0,0
1770649311.4893062,0,0,98.22,80.1,0,0
1770649311.7374222,0,0,98.22,80.1,0,0
1770649311.989555,0,0,98.22,80.1,0,0
1770649312.2378023,0,0,98.22,80.1,0,0
1770649312.4893172,0,0,98.22,80.1,0,0
1770649312.7377102,0,0,98.22,80.1,0,0
1770649312.9896493,0,0,98.22,80.1,0,0
1770649313.23802,0,0,98.22,80.1,0,0
1770649313.4894285,0,0,98.22,80.1,0,0
1770649313.7380347,0,0,98.22,80.1,0,0
1770649313.9902556,0,0,98.22,80.1,0,0
1770649314.2385843,0,0,98.22,80.1,0,0
1770649314.4894888,0,0,98.22,80.1,0,0
1770649314.7387853,0,0,98.22,80.1,0,0
1770649314.989677,0,0,98.22,80.1,0,0
1770649315.238953,0,0,98.22,80.1,0,0
1770649315.4899907,0,0,98.22,80.1,0,0
1770649315.74043,0,0,98.22,80.1,0,0
1770649315.9905176,0,0,98.22,80.1,0,0
1770649316.2387307,0,0,98.22,80.1,0,0
1770649316.4900024,0,0,98.22,80.1,0,0
1770649316.740045,0,0,98.22,80.1,0,0
1770649316.9905586,0,0,98.22,80.1,0,0
1770649317.2397566,0,0,98.22,80.1,0,0
1770649317.490438,0,0,98.22,80.1,0,0
1770649317.7404432,0,0,98.22,80.1,0,0
1770649317.990093,0,0,98.22,80.1,0,0
1770649318.2408652,0,0,98.22,80.1,0,0
1770649318.4902897,0,0,98.22,80.1,0,0
1770649318.7417855,0,0,98.22,80.1,0,0
1770649318.9904172,0,0,98.22,80.1,0,0
1770649319.241043,0,0,98.22,80.1,0,0
1770649319.4910734,0,0,98.22,80.1,0,0
1770649319.741507,0,0,98.22,80.1,0,0
1770649319.9906063,0,0,98.22,80.1,0,0
1770649320.2411022,0,0,98.22,80.1,0,0
1770649320.490728,0,0,98.22,80.1,0,0
1770649320.741871,0,0,98.22,80.1,0,0
1770649320.9903698,0,0,98.22,80.1,0,0
1770649321.2414308,0,0,98.22,80.1,0,0
1770649321.4911344,0,0,98.22,80.1,0,0
1770649321.7423246,0,0,98.22,80.1,0,0
1770649321.990954,0,0,98.22,80.1,0,0
1770649322.241707,0,0,98.22,80.1,0,0
1770649322.4921615,0,0,98.22,80.1,0,0
1770649322.7424238,0,0,98.22,80.1,0,0
1770649322.9913368,0,0,98.22,80.1,0,0
1770649323.2424743,25,0,97.47,80.1,-0.7489,0.0
1770649323.4918096,0,0,97.47,80.1,0,0
1770649323.7428343,0,0,97.47,80.1,0,0
1770649323.9918225,0,0,97.47,80.1,0,0
1770649324.2423499,0,0,97.47,80.1,0,0
1770649324.4925203,0,0,97.47,80.1,0,0
1770649324.7438264,0,0,97.47,80.1,0,0
1770649324.9915814,0,0,97.47,80.1,0,0
1770649325.2430713,0,0,97.47,80.1,0,0
1770649325.4927585,0,0,97.47,80.1,0,0
1770649325.7435904,0,0,97.47,80.1,0,0
1770649325.9922125,0,0,97.47,80.1,0,0
1770649326.2432823,0,0,97.47,80.1,0,0
1770649326.4927127,0,0,97.47,80.1,0,0
1770649326.7437577,0,0,97.47,80.1,0,0
1770649326.9928424,0,0,97.47,80.1,0,0
1770649327.2430387,0,0,97.47,80.1,0,0
